YrQtr,Year,Qtr,Sales
Q1 '05,05,Q1,3.49
Q2 '05,05,Q2,3.24
Q3 '05,05,Q3,3.52
Q4 '05,05,Q4,3.68
Q1 '06,06,Q1,5.75
Q2 '06,06,Q2,4.36
Q3 '06,06,Q3,4.37
Q4 '06,06,Q4,4.84
Q1 '07,07,Q1,7.12
Q2 '07,07,Q2,5.29
Q3 '07,07,Q3,5.56
Q4 '07,07,Q4,6.61
Q1 '08,08,Q1,10.43
Q2 '08,08,Q2,7.98
Q3 '08,08,Q3,7.56
Q4 '08,08,Q4,11.52
Q1 '09,09,Q1,11.88
Q2 '09,09,Q2,9.08
Q3 '09,09,Q3,9.73
Q4 '09,09,Q4,12.21
Q1 '10,10,Q1,15.68
Q2 '10,10,Q2,13.5
Q3 '10,10,Q3,15.7
Q4 '10,10,Q4,20.34
Q1 '11,11,Q1,26.74
Q2 '11,11,Q2,24.67
Q3 '11,11,Q3,28.57
Q4 '11,11,Q4,28.27
Q1 '12,12,Q1,46.33
Q2 '12,12,Q2,39.19
Q3 '12,12,Q3,35.02
Q4 '12,12,Q4,35.97
Q1 '13,13,Q1,54.51
Q2 '13,13,Q2,43.6
Q3 '13,13,Q3,35.32
Q4 '13,13,Q4,37.47
Q1 '14,14,Q1,57.59
Q2 '14,14,Q2,45.65
Q3 '14,14,Q3,37.43
Q4 '14,14,Q4,42.12
Q1 '15,15,Q1,74.6
