"","YrQtr","Year","Qtr","Sales"
"1","Q1 '05",5,"Q1",3.49
"2","Q2 '05",5,"Q2",3.24
"3","Q3 '05",5,"Q3",3.52
"4","Q4 '05",5,"Q4",3.68
"5","Q1 '06",6,"Q1",5.75
"6","Q2 '06",6,"Q2",4.36
"7","Q3 '06",6,"Q3",4.37
"8","Q4 '06",6,"Q4",4.84
"9","Q1 '07",7,"Q1",7.12
"10","Q2 '07",7,"Q2",5.29
"11","Q3 '07",7,"Q3",5.56
"12","Q4 '07",7,"Q4",6.61
"13","Q1 '08",8,"Q1",10.43
"14","Q2 '08",8,"Q2",7.98
"15","Q3 '08",8,"Q3",7.56
"16","Q4 '08",8,"Q4",11.52
"17","Q1 '09",9,"Q1",11.88
"18","Q2 '09",9,"Q2",9.08
"19","Q3 '09",9,"Q3",9.73
"20","Q4 '09",9,"Q4",12.21
"21","Q1 '10",10,"Q1",15.68
"22","Q2 '10",10,"Q2",13.5
"23","Q3 '10",10,"Q3",15.7
"24","Q4 '10",10,"Q4",20.34
"25","Q1 '11",11,"Q1",26.74
"26","Q2 '11",11,"Q2",24.67
"27","Q3 '11",11,"Q3",28.57
"28","Q4 '11",11,"Q4",28.27
"29","Q1 '12",12,"Q1",46.33
"30","Q2 '12",12,"Q2",39.19
"31","Q3 '12",12,"Q3",35.02
"32","Q4 '12",12,"Q4",35.97
"33","Q1 '13",13,"Q1",54.51
"34","Q2 '13",13,"Q2",43.6
"35","Q3 '13",13,"Q3",35.32
"36","Q4 '13",13,"Q4",37.47
"37","Q1 '14",14,"Q1",57.59
"38","Q2 '14",14,"Q2",45.65
"39","Q3 '14",14,"Q3",37.43
"40","Q4 '14",14,"Q4",42.12
"41","Q1 '15",15,"Q1",74.6
