Year,Qtr,Date,MacSales,iPhoneSales,iPadSales
6,1,Q1 '06,1724,0,0
6,2,Q2 '06,1572,0,0
6,3,Q3 '06,1866,0,0
6,4,Q4 '06,2213,0,0
7,1,Q1 '07,2410,0,0
7,2,Q2 '07,2268,0,0
7,3,Q3 '07,2533,5,0
7,4,Q4 '07,3103,118,0
8,1,Q1 '08,3552,241,0
8,2,Q2 '08,3494,378,0
8,3,Q3 '08,3610,419,0
8,4,Q4 '08,3620,806,0
9,1,Q1 '09,3565,2940,0
9,2,Q2 '09,2960,2427,0
9,3,Q3 '09,3354,3060,0
9,4,Q4 '09,3980,4606,0
10,1,Q1 '10,4450,5578,0
10,2,Q2 '10,3760,5445,0
10,3,Q3 '10,4399,5334,2166
10,4,Q4 '10,4870,8822,2792
11,1,Q1 '11,5430,10239,4370
11,2,Q2 '11,4976,12053,2633
11,3,Q3 '11,5105,13102,5603
11,4,Q4 '11,6272,10604,6562
12,1,Q1 '12,6598,23950,8769
12,2,Q2 '12,5073,22276,6264
12,3,Q3 '12,4933,15821,8779
12,4,Q4 '12,6617,16645,7133
13,1,Q1 '13,5519,22955,10674
13,2,Q2 '13,5447,18154,8746
13,3,Q3 '13,4893,19510,6374
13,4,Q4 '13,5624,30660,6186
14,1,Q1 '14,6395,32498,11468
14,2,Q2 '14,5519,26064,7610
14,3,Q3 '14,5540,19751,5889
14,4,Q4 '14,6625,23678,5316
15,1,Q1 '15,6944,51182,8985
